"server_ip","Validation_Status"
"192.168.40.222","Success"
"192.168.40.14","Failed"
"192.168.47.218","Failed"
"192.168.38.5","Failed"
"192.168.41.65","Failed"
"192.168.32.178","Failed"
"192.168.47.100","Failed"
"192.168.43.47","Failed"
"192.168.36.220","Failed"
"192.168.38.193","Failed"
"192.168.44.144","Failed"
"192.168.39.53","Failed"
"192.168.37.200","Success"
"192.168.43.140","Success"
"192.168.41.215","Failed"
"192.168.42.225","Success"
"192.168.43.86","Failed"
"192.168.43.222","Failed"
"192.168.21.18","Failed"
"192.168.21.18","Success"
"192.168.38.15","Failed"
"192.168.45.107","Failed"
"192.168.35.126","Failed"
"192.168.38.58","Failed"
"192.168.33.92","Success"
"192.168.37.50","Failed"
"192.168.37.230","Success"
"192.168.40.3","Failed"
"192.168.34.7","Failed"
"192.168.38.246","Failed"
"192.168.38.118","Failed"
"192.168.45.231","Failed"
"192.168.41.226","Failed"
"192.168.36.159","Failed"
"192.168.44.25","Failed"
"192.168.42.159","Failed"
"192.168.21.129","Success"
"192.168.46.177","Failed"
"192.168.41.144","Failed"
"192.168.47.149","Failed"
"10.0.1.4","Success"
"192.168.38.16","Failed"
"129.146.250.195","Failed"
"192.168.43.12","In-progress"
"192.168.36.198","Success"
"192.168.33.111","Failed"
"192.168.35.97","Failed"
"192.168.35.186","Success"
"192.168.46.49","Success"
"192.168.44.37","Failed"
"192.168.33.33","Failed"
"192.168.43.19","Failed"
"10.0.1.5","Success"
"192.168.42.241","Failed"
"192.168.39.209","Failed"
"192.168.21.142","Success"
"192.168.33.15","Success"
"192.168.35.196","Failed"
"192.168.35.28","Failed"
"192.168.33.112","Failed"
"192.168.40.38","Failed"
"192.168.42.65","Failed"
"192.168.42.103","Failed"
"192.168.32.239","Failed"
"192.168.35.80","Failed"
"10.0.1.2","Success"
"192.168.47.69","Success"
"192.168.39.118","Success"
"192.168.36.19","Failed"
"192.168.33.26","Success"
"192.168.33.161","Failed"
"192.168.33.123","Failed"
"192.168.45.241","Success"
"192.168.43.25","Success"
"192.168.36.77","Failed"
"192.168.47.71","Failed"
"192.168.39.246","Success"
"192.168.40.119","Failed"
"192.168.41.104","Failed"
"192.168.43.194","Success"
"192.0.0.28","Failed"
"192.168.35.179","Failed"
"192.168.35.241","Failed"
"192.168.39.31","Failed"
"192.168.42.48","Failed"
"192.168.42.168","Failed"
"192.168.32.61","Failed"
"192.168.32.81","Failed"
"192.168.41.18","Failed"
"192.168.36.238","Failed"
"192.168.113.59","Success"
"192.168.41.79","Failed"
"10.0.1.31","Failed"
"192.168.33.144","Failed"
"192.168.37.254","Success"
"192.168.47.68","Failed"
"192.168.32.241","Success"
"10.0.1.201","Success"
"192.168.113.113","Failed"
"192.168.41.233","Failed"
"192.168.40.28","Failed"
"192.168.44.72","Success"
"192.168.34.161","Failed"
"192.168.42.116","Failed"
"192.168.39.103","Success"
"192.168.42.19","Failed"
"192.168.113.88","Success"
"192.168.41.95","Failed"
"192.168.34.21","Success"
"192.168.34.154","Failed"
"192.168.43.67","Failed"
"192.168.37.51","Failed"
"192.168.34.77","Success"
"192.168.36.153","Failed"
"192.168.37.61","Failed"
"192.168.37.219","Failed"
"192.168.44.188","Failed"
"192.168.36.239","Success"
"192.168.45.51","Failed"
"192.168.40.198","Failed"
"192.168.43.114","Failed"
"192.168.32.205","Failed"
"192.168.32.217","Failed"
"192.168.36.216","Failed"
"192.168.39.39","Failed"
"192.168.32.172","Failed"
"192.168.40.237","Failed"
"192.168.46.35","Failed"
"192.168.39.224","Failed"
"192.168.46.114","Success"
"192.168.21.30","Success"
