"server_ip","Validation_Status"
"192.168.111.57","Success"
"192.168.113.102","Success"
"192.168.113.139","Failed"
"192.168.113.53","Success"
"192.168.111.59","Success"
"192.168.113.201","Success"
"192.168.113.88","Failed"
"192.168.113.30","Success"
"192.168.21.80","Success"
"192.168.113.56","Success"
"192.168.113.9","Failed"
"192.168.113.224","Success"
"192.168.21.89","Success"
"192.168.113.43","Success"
"192.168.113.207","Success"
"192.168.113.74","Success"
"192.168.113.136","Success"
"192.168.113.47","Failed"
"192.168.10.2","Failed"
